"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-04","0.00",,"73","82","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-05","0.00",,"76","87","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-06","0.00",,"78","91","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-07","0.00",,"69","87","66"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-08","0.01",,"69","75","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-09","0.00",,"73","82","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-10","0.00",,"73","83","64"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-11","0.00",,"69","76","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-12","0.00",,"72","85","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-13","0.00",,"69","81",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-14","0.00",,"71","81","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-15","0.00",,"77","92","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-16","0.00",,"75","90","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-17","0.00",,"68","82","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-18","0.00",,"71","84","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-19","0.00",,"81","96","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-20","0.00",,"77","93",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-21","0.00",,"69","78","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-22","0.00",,"70","79","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-23","0.00",,"73","85","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-24","0.00",,"69","83","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-25","0.31",,"67","74","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-26","0.00",,"69","80","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-27","0.00",,"70","78","62"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-28","0.00",,"66","76",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-29","0.00",,"63","73","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-30","0.00",,"65","75","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-08-31","0.00",,"72","85","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-01","0.00",,"67","82","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-02","0.21",,"63","72","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-03","0.09",,"62","68",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-04","0.11",,"58","65","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-05","0.14",,"59","65","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-06","0.00",,"61","72","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-07","0.00",,"66","79","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-08","0.00",,"71","85","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-09","0.00",,"68","78","63"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-10","0.00",,"65","73","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-11","0.00",,"62","71","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-12","0.00",,"62","71","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-13","0.00",,"60","66","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-14","0.00",,"59","67","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-15","0.39",,"58","66","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-16","0.00",,"61","69","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-17","0.00",,"62","66","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-18","0.00",,"66","74","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-19",,,"70","76","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-20","0.00",,"67","73","60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-21","0.00",,"65","72","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-22","0.00",,"65","74","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-23","0.00",,"62","70","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-24","0.00",,"63","71","57"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-25","0.00",,"61","71","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-26","0.00",,"61","72","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-27","0.00",,"63","74","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-28","0.00",,"62","71","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-29","0.00",,"63","71","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-09-30","0.00",,"64","71","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-01","0.00",,"62","68",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-02","0.00",,"57","65","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-03","0.00",,"56","63","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-10-04","0.00",,"60","66","56"
